DateTime,Open,High,Low,Close,Volume
20171013 11:00:00.000,1.18262,1.18262,1.18057,1.18067,12374124000
20171013 12:00:00.000,1.18067,1.18741,1.18053,1.18566,33983971000
20171013 13:00:00.000,1.18566,1.18751,1.18556,1.18663,19380158000
20171013 14:00:00.000,1.18662,1.18707,1.18321,1.18353,20046635000
20171013 15:00:00.000,1.18352,1.18429,1.18318,1.18366,12092289000
20171013 16:00:00.000,1.18365,1.18488,1.18269,1.18271,11767588000
20171013 17:00:00.000,1.18271,1.18310,1.18202,1.18250,10471372000
20171013 18:00:00.000,1.18249,1.18251,1.18104,1.18178,9108023000
20171013 19:00:00.000,1.18183,1.18223,1.18172,1.18191,5613761000
20171013 20:00:00.000,1.18191,1.18258,1.18186,1.18203,4012587000
20171015 21:00:00.000,1.18115,1.18167,1.18102,1.18104,635635000
20171015 22:00:00.000,1.18105,1.18178,1.18068,1.18068,3002601000
20171015 23:00:00.000,1.18067,1.18146,1.18056,1.18146,2322460000
20171016 00:00:00.000,1.18147,1.18194,1.18119,1.18126,4878735000
20171016 01:00:00.000,1.18125,1.18158,1.18011,1.18030,5069407000
20171016 02:00:00.000,1.18030,1.18091,1.17980,1.18077,3391705000
20171016 03:00:00.000,1.18077,1.18081,1.18021,1.18062,3348882000
20171016 04:00:00.000,1.18062,1.18106,1.18046,1.18091,2500807000
20171016 05:00:00.000,1.18090,1.18100,1.17941,1.17967,3752146000
20171016 06:00:00.000,1.17966,1.18003,1.17837,1.17839,10280068000
20171016 07:00:00.000,1.17840,1.17956,1.17805,1.17929,10721240000
20171016 08:00:00.000,1.17928,1.17947,1.17845,1.17897,8390546000
20171016 09:00:00.000,1.17896,1.17924,1.17843,1.17898,5671437000
20171016 10:00:00.000,1.17898,1.18064,1.17896,1.18017,9118916000
20171016 11:00:00.000,1.18019,1.18169,1.18008,1.18056,9719047000
20171016 12:00:00.000,1.18057,1.18092,1.17959,1.18069,14869217000
20171016 13:00:00.000,1.18068,1.18103,1.17996,1.18023,11153235000
20171016 14:00:00.000,1.18023,1.18047,1.17950,1.17965,11023749000
20171016 15:00:00.000,1.17964,1.18196,1.17964,1.18089,10469127000
20171016 16:00:00.000,1.18091,1.18119,1.18063,1.18105,5301851000
20171016 17:00:00.000,1.18105,1.18110,1.18021,1.18055,8777622000
20171016 18:00:00.000,1.18055,1.18095,1.17894,1.17916,17061248000
20171016 19:00:00.000,1.17917,1.17927,1.17860,1.17923,9247070000
20171016 20:00:00.000,1.17923,1.17975,1.17919,1.17951,2500141000
20171016 21:00:00.000,1.17963,1.18001,1.17959,1.17969,3357476000
20171016 22:00:00.000,1.17967,1.17972,1.17913,1.17919,4009346000
20171016 23:00:00.000,1.17920,1.17946,1.17877,1.17946,1997350000
20171017 00:00:00.000,1.17946,1.17949,1.17841,1.17862,4349228000
20171017 01:00:00.000,1.17862,1.17871,1.17749,1.17762,4949176000
20171017 02:00:00.000,1.17762,1.17836,1.17758,1.17833,5177236000
20171017 03:00:00.000,1.17834,1.17840,1.17775,1.17791,2312390000
20171017 04:00:00.000,1.17790,1.17815,1.17771,1.17776,2337025000
20171017 05:00:00.000,1.17776,1.17803,1.17665,1.17695,4503997000
20171017 06:00:00.000,1.17695,1.17739,1.17562,1.17572,10201845000
20171017 07:00:00.000,1.17571,1.17732,1.17550,1.17723,10465761000
20171017 08:00:00.000,1.17724,1.17752,1.17638,1.17648,10008685000
20171017 09:00:00.000,1.17651,1.17685,1.17543,1.17587,10318645000
20171017 10:00:00.000,1.17587,1.17697,1.17545,1.17602,8891459000
20171017 11:00:00.000,1.17600,1.17681,1.17556,1.17628,10216472000
20171017 12:00:00.000,1.17627,1.17647,1.17512,1.17512,12359593000
20171017 13:00:00.000,1.17511,1.17533,1.17429,1.17461,14738982000
20171017 14:00:00.000,1.17461,1.17526,1.17361,1.17509,14987277000
20171017 15:00:00.000,1.17508,1.17573,1.17460,1.17533,9631947000
20171017 16:00:00.000,1.17534,1.17557,1.17447,1.17459,5531494000
20171017 17:00:00.000,1.17458,1.17663,1.17444,1.17640,5746016000
20171017 18:00:00.000,1.17638,1.17750,1.17616,1.17712,8358720000
20171017 19:00:00.000,1.17712,1.17721,1.17671,1.17683,4714301000
20171017 20:00:00.000,1.17682,1.17684,1.17656,1.17658,1577697000
20171017 21:00:00.000,1.17662,1.17693,1.17645,1.17656,2692804000
20171017 22:00:00.000,1.17656,1.17687,1.17641,1.17681,2008101000
20171017 23:00:00.000,1.17681,1.17718,1.17681,1.17711,2062057000
20171018 00:00:00.000,1.17710,1.17806,1.17700,1.17727,6295930000
20171018 01:00:00.000,1.17727,1.17733,1.17672,1.17692,3977397000
20171018 02:00:00.000,1.17693,1.17749,1.17691,1.17723,3251274000
20171018 03:00:00.000,1.17724,1.17729,1.17687,1.17698,2329360000
20171018 04:00:00.000,1.17699,1.17705,1.17623,1.17639,2888139000
20171018 05:00:00.000,1.17638,1.17655,1.17587,1.17651,4652319000
20171018 06:00:00.000,1.17651,1.17708,1.17534,1.17539,9718393000
20171018 07:00:00.000,1.17540,1.17688,1.17480,1.17612,12577437000
